AccountID,CustomerID,ProductID,BranchID,OpenDateKey,Balance,Status,InterestRate
1,322,2,103,20231217,805143.08,Active,5.15
2,1957,4,103,20241224,-6970070.09,Active,10.82
3,1362,8,103,20240703,-4849490.12,Active,15.54
4,1030,8,105,20231121,-1653536.69,Active,15.93
5,1689,7,110,20240225,-242269.75,Dormant,33.47
6,1801,8,108,20231107,-3728428.86,Active,8.79
7,1324,8,106,20240330,-5617516.49,Active,13.84
8,1256,3,107,20230216,374453.09,Active,7.05
9,938,7,103,20230807,-209556.61,Active,25.72
10,90,4,103,20230606,-2226521.4,Active,13.21
11,1877,2,104,20240828,1363195.97,Active,4.85
12,249,6,102,20240304,-6055405.09,Active,12.28
13,840,8,103,20240706,-2059494.61,Active,12.3
14,150,8,107,20240613,-2782078.84,Active,11.5
15,78,1,105,20230919,172909.39,Active,7.13
16,1534,8,108,20240705,-3717788.13,Active,9.12
17,1462,8,103,20240313,-3792762.47,Active,10.59
18,1718,1,110,20240817,151672.17,Active,4.32
19,801,3,102,20241229,1007416.84,Active,3.05
20,903,6,103,20240929,-1772545.84,Active,8.76
21,443,8,101,20240605,-6700184.07,Active,14.59
22,1468,2,107,20230320,1035829.72,Active,5.0
23,100,7,104,20230605,-278646.17,Active,30.74
24,188,1,107,20240609,42888.31,Dormant,3.07
25,1393,2,104,20241014,1438159.14,Dormant,3.43
26,1361,3,103,20230907,66974.76,Active,5.31
27,661,9,104,20241217,-5016153.16,Active,15.51
28,877,2,104,20230201,321456.2,Active,4.6
29,824,6,101,20230705,-3144033.94,Active,11.94
30,1670,5,110,20240211,-2983390.69,Active,9.0
31,618,10,108,20230310,24586011.08,Active,0.0
32,1889,10,103,20230831,6672533.75,Active,0.0
33,1293,7,103,20240828,-99613.96,Dormant,35.44
34,652,8,102,20230117,-2714086.48,Active,13.06
35,784,9,104,20230501,-4052189.35,Active,13.78
36,44,10,102,20241023,8066791.4,Active,0.0
37,1270,2,101,20230723,207195.67,Active,5.24
38,770,4,101,20230809,-1942608.55,Closed,13.94
39,909,6,103,20230416,-2261105.22,Active,13.33
40,1067,7,105,20230401,-225165.27,Active,28.12
41,702,4,104,20230313,-4337528.43,Active,15.3
42,509,4,110,20230821,-6988010.97,Active,12.41
43,1290,1,102,20230124,1304930.24,Active,3.31
44,1300,3,104,20230522,189215.94,Active,3.78
45,1629,4,104,20230731,-4084025.16,Active,11.7
46,337,4,104,20230121,-3420933.36,Active,13.04
47,1181,8,104,20240219,-2211293.24,Active,14.36
48,1992,6,107,20231021,-3052854.04,Active,12.03
49,1249,7,103,20230216,-245881.14,Active,38.28
50,782,7,102,20240705,-227657.5,Active,40.59
51,313,9,103,20231220,-2095469.19,Active,11.98
52,769,9,110,20241027,-3872712.46,Active,11.0
53,401,3,104,20240629,7266.65,Active,6.88
54,767,8,107,20240717,-7409244.02,Closed,15.55
55,765,7,108,20230403,-92343.25,Active,41.78
56,1813,1,102,20230708,577854.19,Active,5.55
57,894,5,106,20240128,-4101386.49,Active,12.16
58,1427,1,107,20240703,1389851.62,Active,6.31
59,71,6,101,20240405,-5594897.81,Active,13.34
60,933,3,105,20240204,371874.79,Active,5.6
61,331,1,102,20241129,1156687.31,Dormant,5.9
62,815,10,102,20240616,13204157.57,Active,0.0
63,1700,7,105,20240924,-207551.04,Active,33.01
64,1816,7,110,20231204,-92393.66,Dormant,31.41
65,1491,2,102,20240207,954634.19,Active,6.5
66,293,5,104,20230312,-7443634.08,Active,11.48
67,345,8,101,20230228,-820121.76,Active,14.3
68,854,5,107,20230717,-1406542.34,Active,11.31
69,406,8,103,20240113,-4045779.33,Active,9.33
70,436,3,104,20241227,89414.12,Active,3.82
71,532,7,108,20240728,-188051.21,Dormant,35.24
72,341,2,105,20240905,129474.89,Active,3.56
73,61,10,104,20240330,12208479.41,Active,0.0
74,126,5,101,20241101,-5339312.11,Active,14.42
75,433,9,101,20240402,-3036543.14,Closed,12.4
76,545,8,108,20241122,-6067447.52,Active,13.03
77,1397,6,106,20240203,-6543935.18,Active,15.56
78,776,10,101,20240326,24394973.99,Active,0.0
79,7,8,107,20240129,-5815500.49,Active,15.16
