LoanID,AccountID,CustomerID,ProductID,SanctionDateKey,SanctionAmount,OutstandingAmount,EMIAmount,DPD,NPAFlag,Status
1,2,112,4,20220725,8716195.86,6297506.11,177542.49,0,0,Standard
2,3,831,8,20201126,4669506.52,2395851.59,136543.85,0,0,Standard
3,4,1517,8,20210829,7326208.1,4493835.29,101305.39,0,0,Standard
4,6,1420,8,20240106,5413822.37,4403429.81,104902.9,90,1,NPA
5,7,1090,8,20211219,263918.03,246286.1,6286.15,90,1,NPA
6,10,293,4,20200216,3892656.62,1394669.39,86361.22,0,0,Standard
7,12,935,6,20220830,8017297.55,4851838.73,96790.09,180,1,NPA
8,13,1188,8,20200714,6527049.52,948886.56,176838.82,0,0,Standard
9,14,702,8,20240905,3998093.78,1693369.6,41703.24,0,0,Standard
10,16,828,8,20200328,2960175.06,884456.96,61426.36,0,0,Standard
11,17,1298,8,20230127,1412754.42,758314.83,39632.98,0,0,Standard
12,20,399,6,20220703,1359649.18,430820.5,20124.51,15,0,Overdue
13,21,1782,8,20240203,2889131.98,671087.21,52971.37,120,1,NPA
14,27,655,9,20240427,7348950.93,2421433.39,135970.59,60,0,Overdue
15,29,1485,6,20201117,285098.84,85383.76,5477.62,0,0,Standard
16,30,677,5,20241226,2959888.95,951297.99,75445.32,0,0,Standard
17,34,1502,8,20230624,5456471.81,4238698.56,135689.64,0,0,Standard
18,35,1618,9,20220126,5489698.62,5429683.96,137877.4,0,0,Standard
19,38,759,4,20230108,3489773.14,1169095.5,97903.36,90,1,NPA
20,39,98,6,20230708,7083302.36,6289027.89,115682.42,0,0,Standard
21,41,200,4,20220915,7697289.41,4379267.8,159709.98,0,0,Standard
22,42,47,4,20240222,268856.09,121353.34,5227.0,30,0,Overdue
23,45,431,4,20200118,5916452.61,4604890.24,143665.65,0,0,Standard
24,46,562,4,20210424,3148392.36,432172.4,73333.09,120,1,NPA
25,47,1211,8,20240201,2842809.96,626628.97,45706.32,30,0,Overdue
26,48,1324,6,20240731,4518495.1,2798850.08,89033.31,0,0,Standard
27,51,487,9,20210501,2954205.85,298822.54,87631.23,0,0,Standard
28,52,1756,9,20210515,7692970.24,3309676.67,195862.87,0,0,Standard
29,54,134,8,20230915,8301410.57,6492693.47,236450.72,0,0,Standard
30,57,1306,5,20240419,1699478.46,509328.24,25879.25,0,0,Standard
31,59,1074,6,20200818,7878107.38,4835457.83,108390.95,120,1,NPA
32,66,747,5,20210503,2086989.79,1882028.96,36215.58,0,0,Standard
33,67,970,8,20240827,4840189.44,3091529.96,96839.48,0,0,Standard
34,68,976,5,20230810,1933993.41,866819.65,26446.78,90,1,NPA
35,69,1415,8,20231219,1052256.39,462236.69,26064.2,0,0,Standard
36,74,943,5,20220723,7218190.74,3259734.32,112980.11,0,0,Standard
37,75,1641,9,20240525,665695.11,644991.21,12219.9,0,0,Standard
38,76,1992,8,20231126,5695470.04,4026733.17,124024.55,0,0,Standard
39,77,1684,6,20240124,574224.33,429295.24,6299.36,0,0,Standard
40,79,466,8,20231116,8138079.23,4132136.25,117120.55,30,0,Overdue
41,81,1335,8,20210616,5674815.46,2149454.06,104395.63,0,0,Standard
42,82,1658,4,20211001,207943.08,198032.85,3682.75,30,0,Overdue
43,83,314,6,20221230,7879379.69,4432721.86,102523.44,0,0,Standard
44,85,1219,8,20211225,6337672.45,1337142.53,153015.94,0,0,Standard
45,86,491,9,20220719,7554782.37,7345014.61,146119.65,0,0,Standard
46,89,300,4,20200529,916980.11,288492.62,9722.63,0,0,Standard
47,91,1195,4,20211029,1855546.14,1061288.01,48924.71,90,1,NPA
48,93,316,4,20201105,6357006.39,4211273.28,131027.27,0,0,Standard
49,96,668,4,20210525,6372444.28,2381464.89,111015.13,0,0,Standard
50,99,118,9,20230308,7098024.69,6653247.12,141353.77,0,0,Standard
51,100,33,8,20210524,3434166.63,1881256.72,50920.33,0,0,Standard
52,101,1820,8,20210210,827087.17,412735.82,13534.44,0,0,Standard
53,105,1184,4,20240712,6025008.9,5617431.07,74563.09,0,0,Standard
54,107,665,9,20200827,1795647.55,491167.89,30026.31,0,0,Standard
55,109,1912,4,20231125,3309227.71,2692448.56,49120.32,90,1,NPA
56,111,1172,8,20220331,2697897.95,2032174.59,37649.61,15,0,Overdue
57,115,264,9,20201224,8414238.01,7837220.77,181253.88,30,0,Overdue
58,116,805,4,20220309,6985831.5,5415981.08,100991.21,0,0,Standard
59,118,1865,8,20221002,5614297.29,4039838.21,135368.15,15,0,Overdue
60,122,454,5,20211025,1951682.81,1077099.26,40878.18,0,0,Standard
61,123,1687,9,20230728,6639435.61,2963674.37,116937.94,0,0,Standard
62,124,1482,9,20200504,6508211.08,5562292.13,135658.17,0,0,Standard
63,130,1832,9,20221209,1250548.18,854583.93,36641.42,0,0,Standard
64,131,1308,6,20200315,4422159.63,1696729.01,101901.99,0,0,Standard
