TransactionID,AccountID,DateKey,Channel,TxnType,Amount,IsFraudFlag
1,2960,20230603,Branch,Interest,25005.21,0
2,1438,20241101,POS,EMI,409106.43,0
3,452,20231213,MobileApp,Interest,95916.46,0
4,3108,20230327,POS,Transfer,287846.04,0
5,636,20230320,ATM,Transfer,72377.3,0
6,3111,20240518,UPI,Interest,372579.26,0
7,2715,20240629,UPI,Withdrawal,239850.72,0
8,200,20240306,UPI,Fee,259998.02,0
9,2683,20231207,POS,Deposit,477463.32,0
10,2074,20240421,Branch,Transfer,4152.52,0
11,1229,20231030,UPI,Deposit,36087.54,0
12,898,20240723,MobileApp,Fee,121081.21,0
13,2159,20230318,MobileApp,Payment,493383.6,0
14,1417,20240405,NetBanking,Transfer,136355.56,0
15,1414,20231011,ATM,EMI,77205.11,0
16,2520,20241107,MobileApp,Payment,427910.45,0
17,3378,20240709,MobileApp,Fee,350287.52,0
18,197,20241117,POS,Transfer,374718.46,0
19,2854,20240514,NetBanking,EMI,286735.45,0
20,2830,20240326,ATM,Fee,265404.74,0
21,1675,20240702,MobileApp,Fee,313306.03,0
22,3290,20230207,UPI,Transfer,368957.72,0
23,351,20240106,NetBanking,Transfer,361355.17,0
24,2659,20230313,POS,Withdrawal,278585.69,0
25,2759,20240418,MobileApp,Payment,170158.03,0
26,569,20240909,Branch,Withdrawal,193200.05,0
27,892,20240409,UPI,Transfer,198892.71,0
28,1094,20240822,NetBanking,Fee,197772.46,0
29,2497,20230828,Branch,Interest,240300.78,0
30,2730,20230924,UPI,Fee,284802.04,0
31,2068,20230107,Branch,Payment,241688.92,0
32,628,20230329,UPI,Fee,344027.4,0
33,3251,20230531,NetBanking,EMI,390398.2,0
34,2754,20231116,Branch,Payment,458834.67,0
35,729,20230613,UPI,Interest,336514.63,0
36,3198,20240122,POS,Transfer,331515.5,0
37,1803,20240530,MobileApp,Payment,175317.43,0
38,2386,20230117,Branch,Payment,9469.15,0
39,2971,20241104,UPI,Transfer,324356.22,0
40,2616,20240212,NetBanking,Withdrawal,491996.86,0
41,1929,20240508,POS,Payment,51014.11,0
42,3280,20240903,UPI,Withdrawal,475379.64,0
43,3400,20240117,UPI,Transfer,383864.1,0
44,221,20230103,MobileApp,Payment,473309.82,0
45,1223,20230411,Branch,Transfer,105333.48,0
46,1912,20231208,Branch,Deposit,332028.68,0
47,1365,20240709,POS,Transfer,231225.6,0
48,3140,20240605,NetBanking,EMI,480474.53,0
49,294,20231208,POS,Transfer,347147.77,0
50,709,20241121,NetBanking,Transfer,234202.38,0
51,1644,20230319,NetBanking,Deposit,111703.06,0
52,2996,20230121,POS,Payment,154579.4,0
53,1347,20240518,POS,Transfer,233849.74,0
54,1287,20230323,ATM,Withdrawal,430365.64,0
55,1528,20240325,NetBanking,EMI,8924.71,0
56,3072,20241213,UPI,Interest,483987.17,0
57,3060,20230423,UPI,Transfer,416448.9,0
58,2055,20241014,Branch,Fee,204451.2,0
59,3226,20240509,UPI,Interest,454550.76,0
60,482,20241003,ATM,Payment,83905.37,0
61,3015,20240305,POS,Interest,481168.82,0
62,8,20241222,NetBanking,Deposit,232560.51,0
63,3305,20230703,UPI,Payment,316835.9,0
64,2989,20231224,MobileApp,Fee,294974.62,0
65,3304,20230330,POS,Withdrawal,487099.3,0
66,1431,20230525,POS,Transfer,285995.62,0
67,2123,20230905,POS,Withdrawal,249706.93,0
68,2925,20230615,MobileApp,Deposit,61418.34,0
69,2493,20231123,MobileApp,Deposit,9745.56,0
70,2523,20231103,POS,Deposit,329560.84,0
71,430,20240922,MobileApp,Fee,17729.42,0
72,2347,20241018,POS,Transfer,287354.56,0
73,1772,20230106,POS,EMI,89131.18,0
74,1286,20240805,POS,Deposit,198994.45,0
75,450,20240204,POS,Interest,182646.11,0
76,969,20240506,POS,EMI,385348.15,0
77,1738,20240606,MobileApp,Payment,338460.27,0
78,811,20230925,MobileApp,Payment,499928.61,0
79,2760,20230914,NetBanking,Fee,263641.36,0
80,2004,20240925,Branch,Payment,64130.75,0
81,879,20240101,NetBanking,Interest,42778.84,0
82,3281,20230111,NetBanking,Interest,53324.59,0
83,30,20240420,Branch,Transfer,94861.81,0
84,1270,20240503,ATM,Payment,317662.92,0
85,929,20230803,MobileApp,Payment,425547.81,0
86,1285,20240805,MobileApp,Fee,385968.27,0
87,1809,20230409,Branch,Fee,134088.26,0
88,803,20241001,POS,Interest,427091.67,0
89,46,20241204,POS,Deposit,457095.07,0
90,936,20230429,NetBanking,Interest,314482.27,0
91,2297,20240824,ATM,Payment,412198.6,0
92,3481,20231013,NetBanking,Withdrawal,474296.91,0
93,972,20230128,POS,Payment,404908.08,0
94,2899,20241226,Branch,Withdrawal,443189.35,0
95,2143,20240315,MobileApp,Payment,469493.27,0
96,3319,20240711,ATM,Fee,64298.43,0
97,3287,20240207,ATM,Deposit,132000.66,0
98,1321,20240910,ATM,Interest,188867.63,0
99,2399,20230709,MobileApp,Interest,320991.4,0
100,602,20240501,NetBanking,Interest,309386.27,0
101,3106,20230115,NetBanking,Payment,481884.14,0
102,1118,20240807,MobileApp,Transfer,350063.23,0
103,2812,20240513,NetBanking,Transfer,143276.46,0
104,2134,20230918,Branch,Interest,386255.45,0
105,3482,20231115,POS,Transfer,42755.5,0
106,1844,20240518,ATM,EMI,483188.92,0
107,592,20230629,Branch,Withdrawal,276353.18,0
108,2212,20240912,Branch,Fee,296596.7,0
109,2959,20241029,MobileApp,EMI,150524.03,0
110,3190,20230924,NetBanking,Interest,248377.88,0
111,1565,20240630,POS,Withdrawal,82989.67,0
112,1070,20241002,POS,EMI,121990.67,0
113,1094,20230414,Branch,Deposit,55734.92,0
114,2219,20230823,ATM,Payment,5807.82,0
115,1973,20240621,MobileApp,Transfer,234409.54,0
116,3000,20240904,UPI,Deposit,495693.15,0
117,1980,20241015,MobileApp,Deposit,485664.97,0
118,1905,20240824,MobileApp,Withdrawal,370257.26,0
119,1980,20231011,MobileApp,Fee,241441.89,0
120,2608,20230104,MobileApp,Withdrawal,479234.72,0
121,172,20241108,NetBanking,EMI,261823.95,0
122,2298,20230608,Branch,Fee,149972.2,0
123,3334,20230923,UPI,Withdrawal,22453.58,0
124,2750,20241215,ATM,Payment,422490.82,0
125,3260,20241128,MobileApp,Transfer,307417.66,0
126,448,20240418,UPI,EMI,41748.94,0
127,2941,20240713,POS,Interest,115422.43,0
128,1585,20241013,NetBanking,Interest,398822.08,0
129,2313,20230425,POS,Fee,375369.35,0
130,940,20240911,NetBanking,Withdrawal,168212.91,0
131,469,20240528,POS,EMI,225369.22,0
132,2263,20240522,Branch,Fee,431701.84,0
133,409,20240328,ATM,Payment,496735.69,0
134,1603,20240923,MobileApp,Deposit,231239.53,0
135,1361,20240226,ATM,Deposit,299220.72,0
136,1631,20230730,POS,Withdrawal,390501.33,0
137,704,20240916,MobileApp,Interest,1823.29,0
138,1735,20240103,UPI,Fee,464618.2,0
139,2900,20230610,UPI,Payment,183482.52,0
140,43,20230108,ATM,Interest,421536.87,0
141,816,20241028,NetBanking,EMI,115472.13,0
142,1221,20240623,ATM,Fee,419614.13,0
143,18,20240314,MobileApp,Transfer,224372.4,0
144,1337,20240813,Branch,Payment,155818.05,0
145,1546,20240817,UPI,Withdrawal,385767.02,0
146,501,20230819,Branch,Withdrawal,367228.88,0
147,3309,20230616,Branch,Withdrawal,455449.98,0
148,356,20230418,UPI,Transfer,183884.9,0
149,2388,20230926,POS,Payment,283174.06,0
150,904,20230222,NetBanking,Interest,379207.61,0
151,410,20231214,MobileApp,Payment,40814.81,0
152,110,20230924,ATM,Deposit,172765.3,0
153,234,20240812,UPI,Transfer,36949.56,0
154,2862,20240206,MobileApp,Deposit,165046.8,0
155,1038,20231011,UPI,Interest,116006.34,0
156,2275,20230801,UPI,Transfer,104496.07,0
157,2289,20240604,NetBanking,Deposit,378051.48,0
158,3411,20230628,MobileApp,Payment,232447.63,0
159,249,20240502,Branch,Payment,139979.68,0
160,2688,20241114,POS,EMI,399539.14,0
161,2602,20240921,POS,Interest,116665.6,0
162,3124,20230619,MobileApp,Interest,118243.48,0
163,726,20240206,NetBanking,EMI,395643.43,0
164,2960,20230310,POS,Payment,166732.16,0
165,2048,20230826,NetBanking,Interest,170208.9,0
166,1238,20240821,UPI,Transfer,448462.83,0
167,2403,20241004,NetBanking,Fee,436635.62,0
168,3285,20230721,ATM,Interest,58622.12,0
169,1411,20231231,MobileApp,Deposit,428237.23,0
170,665,20230709,MobileApp,Deposit,227561.58,0
171,2391,20241226,NetBanking,Interest,289902.73,0
172,3289,20231225,MobileApp,Payment,415994.36,0
173,210,20240821,MobileApp,EMI,236380.97,0
174,1842,20240303,NetBanking,Transfer,336838.1,0
175,1399,20231106,MobileApp,Withdrawal,255916.86,0
176,622,20241201,ATM,Payment,341593.43,0
177,2077,20230822,NetBanking,Transfer,471642.34,0
178,3106,20230630,ATM,EMI,5307.22,0
179,2807,20230903,MobileApp,EMI,429149.92,0
180,47,20240627,MobileApp,Payment,361810.1,0
181,746,20241029,POS,Fee,431465.0,0
182,2128,20230323,ATM,Payment,390915.7,0
183,2560,20240203,MobileApp,Payment,445196.29,0
184,1535,20230225,MobileApp,Deposit,378458.73,0
185,2315,20231124,MobileApp,Withdrawal,188186.63,0
186,2414,20231226,ATM,Fee,403967.75,0
187,286,20240812,POS,Interest,42790.95,0
188,3111,20230408,ATM,Transfer,61689.03,0
189,1719,20240308,ATM,Withdrawal,330378.37,0
190,2211,20240712,POS,Withdrawal,143781.07,0
191,789,20231230,POS,Interest,121004.01,0
192,884,20230313,UPI,EMI,464544.0,0
193,1553,20230922,Branch,Interest,200627.67,0
194,113,20230423,MobileApp,EMI,492456.85,0
195,929,20240915,POS,Deposit,199473.44,0
196,535,20240411,ATM,Transfer,218879.25,0
197,1324,20240710,ATM,EMI,152829.73,0
198,1408,20240815,ATM,Payment,357729.69,0
199,3218,20231204,MobileApp,Interest,470108.87,0
200,3392,20230615,UPI,Transfer,143705.48,0
201,1396,20231007,ATM,Deposit,58312.31,0
202,3087,20230423,UPI,Interest,5001.88,0
203,1434,20240728,NetBanking,Withdrawal,264750.7,0
204,1015,20231114,MobileApp,Payment,380090.3,0
205,541,20240622,NetBanking,Transfer,400377.12,0
206,1738,20241224,UPI,EMI,318807.06,0
207,1626,20240717,Branch,Fee,90295.08,0
208,2418,20231105,ATM,Withdrawal,61259.41,0
209,1969,20231204,Branch,Deposit,310753.9,0
210,1336,20230414,UPI,Payment,482232.59,0
211,2425,20230919,UPI,Fee,65946.1,0
212,2318,20231119,UPI,Interest,242069.67,0
213,2128,20230120,MobileApp,Withdrawal,413200.55,0
214,1031,20230529,ATM,Interest,154926.62,0
215,1675,20240826,ATM,EMI,408735.33,0
216,2731,20231205,UPI,Payment,154923.79,0
217,35,20230922,ATM,Withdrawal,380144.83,0
218,2075,20240811,Branch,Payment,2344.09,0
219,2874,20240704,Branch,Withdrawal,263582.82,0
220,2805,20231217,Branch,Withdrawal,469504.45,0
221,653,20241227,POS,Fee,328076.18,0
222,2963,20240703,MobileApp,Transfer,148848.97,0
223,274,20231218,MobileApp,Transfer,264960.66,0
224,2698,20240611,POS,Deposit,27871.26,0
225,1663,20230608,MobileApp,Withdrawal,437235.63,0
226,3030,20231222,Branch,Interest,48927.84,0
227,2790,20230813,POS,EMI,223713.51,0
228,3381,20230616,Branch,Withdrawal,433873.81,0
229,1972,20230112,UPI,Interest,170893.02,0
230,3298,20230516,ATM,Withdrawal,6797.07,0
231,2080,20231119,MobileApp,Withdrawal,451053.22,0
232,886,20240822,MobileApp,EMI,353638.18,0
233,201,20240905,Branch,Interest,129881.9,0
234,2435,20240103,ATM,Withdrawal,67377.62,0
235,1098,20230825,POS,Fee,265809.34,0
236,409,20231202,UPI,Fee,230205.67,0
237,182,20230513,POS,Deposit,282791.59,0
238,3470,20230206,MobileApp,Fee,66204.01,0
239,1436,20240215,Branch,EMI,65434.84,0
240,2304,20230831,ATM,EMI,361938.91,0
241,976,20240716,ATM,Fee,74782.36,0
242,3448,20231015,Branch,Interest,134399.39,0
243,810,20240121,MobileApp,EMI,170298.88,0
244,423,20241217,NetBanking,EMI,482336.79,0
245,1524,20241014,NetBanking,Interest,62533.99,0
246,865,20230516,UPI,Fee,221871.51,0
247,676,20240112,Branch,Interest,233376.1,0
248,1883,20230808,NetBanking,Fee,429619.78,0
249,1269,20230203,ATM,Transfer,280688.08,0
250,976,20231101,UPI,Payment,79309.82,0
251,2463,20230702,Branch,EMI,462845.5,0
252,288,20230108,ATM,Transfer,326602.33,0
253,3243,20240421,MobileApp,Fee,224820.92,0
254,2646,20231003,MobileApp,Fee,394722.92,0
255,3079,20230601,NetBanking,Transfer,95715.55,0
256,2580,20231216,NetBanking,Interest,152219.9,0
257,2126,20230219,MobileApp,Withdrawal,301840.29,0
258,1483,20240901,MobileApp,Deposit,168845.47,0
259,2913,20230531,NetBanking,Withdrawal,447174.13,0
260,2653,20230904,Branch,Interest,78430.18,0
261,193,20240614,ATM,Transfer,464055.08,0
262,2625,20241206,NetBanking,Withdrawal,146576.44,0
263,1716,20231020,Branch,Fee,15382.53,0
